abial	阿扁
gechelgshi	各城市
gechengsfi	各城市
gechusfi	各处室
gecul	各村
gedal	歌单
gedalg	格挡
gedalgpai	各党派
gedalwei	各单位
gedazfou	各大洲
gedefuang	硌得慌
gedehualg	硌得慌
gedelg	咯噔
gedial	各点
gedifalg	各地方
gedihang	各地方
gedisfi	各地市
gedual	隔断
geel	个儿
geelmen	哥儿们
geelmu	格尔木
geelpi	嗝儿屁
geermel	哥儿们
gefalg	各方
gefalgmian	各方面
gefangmial	各方面
gefangye	各行业
gefe	隔阂
gefel	各分
gefeldian	各分店
gefendial	各分店
gefou	歌喉
gefui	歌会
gefuiyuan	各会员
gegel	葛根
gegolgneng	各功能
gegolgsi	各公司
gegolgzhong	各工种
gegongleng	各功能
gegongnelg	各功能
gegongzfong	各工种
gegongzholg	各工种
geha	各发
gehalg	各行
gehalgye	各行业
gehangmian	各方面
gehen	各分
gehendian	各分店
gehuiyual	各会员
geibielen	给别人
geibierel	给别人
geibuniao	给不了
geiburiao	给不了
geicfi	给吃
geicfu	给出
geidial	给点
geidilg	给定
geiduifalg	给对方
geiduihang	给对方
geifaizi	给孩子
geifel	给分
geihen	给分
geijiazfang	给家长
geijiazhalg	给家长
geikal	给看
geikefu	给客户
geileli	给了你
geilen	给人
geilenyi	给人以
geilige	给你个
geilikan	给你看
geilimen	给你们
geilin	给您
geiliting	给你听
geilvren	给女人
geimialzi	给面子
geimuqil	给母亲
geine	给了
geineni	给了你
geineta	给了他
geinewo	给了我
geiniao	给料
geinikal	给你看
geinil	给您
geinimel	给你们
geinitilg	给你听
geinvlen	给女人
geinvrel	给女人
geipelgyou	给朋友
geipial	给骗
geiqial	给钱
geire	给了
geirel	给人
geirelyi	给人以
geireni	给了你
geireta	给了他
geirewo	给了我
geiriao	给料
geisfa	给啥
geisfale	给啥了
geisfei	给谁
geisfui	给谁
geishane	给啥了
geishare	给啥了
geitamel	给他们
geiwogul	给我滚
geiwojialg	给我讲
geiwomel	给我们
geixuesfeng	给学生
geixueshelg	给学生
geiyolghu	给用户
geiyongfu	给用户
gejial	隔间
gejiecelg	各阶层
gejifao	歌记号
gejil	各进
gejiusfi	个旧市
gejuyual	歌剧院
gekesfi	各科室
gekolg	隔空
gekual	各款
gel	跟
gelalshi	格兰仕
gelalte	格兰特
gelansfi	格兰仕
gelban	跟班
gelbaner	跟班儿
gelben	根本
gelbenbu	根本不
gelbenshi	根本是
gelbenxing	根本性
gelbieren	跟别人
gelbu	根部
gelbushang	跟不上
gelchu	根除
gelcong	跟从
geldajia	跟大家
geldan	跟单
geldanyuan	跟单员
geldao	跟到
gelde	跟得
geldeshang	跟得上
geldi	根底
geldiao	根雕
geldou	跟斗
geldu	跟读
geldui	跟对
geleixilg	各类型
gelen	个人
gelenban	个人版
gelenjiang	个人奖
gelensai	个人赛
gelenyong	个人用
geler	根儿
gelfeng	跟风
gelfumu	跟父母
gelg	更
gelgai	更爱
gelgaini	更爱你
gelganquan	更安全
gelgba	更把
gelgbang	更棒
gelgbao	更薄
gelgbei	更被
gelgbi	更比
gelgbie	更别
gelgbieshuo	更别说
gelgbo	更薄
gelgbu	更不
gelgbuhui	更不会
gelgbuneng	更不能
gelgbushi	更不是
gelgbuxiang	更不想
gelgbuyao	更不要
gelgbuyong	更不用
gelgbuzhi	更不知
gelgcan	更惨
gelgcha	更差
gelgchang	更长
gelgchangjiu	更长久
gelgchen	庚辰
gelgchengwei	更成为
gelgchijiu	更持久
gelgchongfen	更充分
gelgchuse	更出色
gelgcongming	更聪明
gelgda	更大
gelgdadan	更大胆
gelgdale	更大了
gelgdao	粳稻
gelgdei	更得
gelgdi	更低
gelgdiao	更屌
gelgdie	更迭
gelgdong	更懂
gelgdongde	更懂得
gelgdu	更堵
gelgduan	更短
gelgduo	更多
gelgduode	更多的
gelge	跟个
gelgen	根根
gelgfangbian	更方便
gelgfengfu	更丰富
gelgfu	更富
gelgfuhe	更符合
gelgfuyou	更富有
gelgfuza	更复杂
gelggai	更改
gelggao	更高
gelggaoji	更高级
gelggeng	更更
gelgguang	更广
gelgguangkuo	更广阔
gelgguanjian	更关键
gelgguanxin	更关心
gelggui	更贵
gelghao	更好
gelghaode	更好的
gelghaokan	更好看
gelghe	更合
gelghei	更黑
gelghekuang	更何况
gelgheli	更合理
gelghen	更狠
gelgheshi	更合适
gelghong	更红
gelghou	更厚
gelghua	更滑
gelghuai	更坏
gelghuan	更换
gelghuanle	更换了
gelghuasuan	更划算
gelghui	更会
gelgji	更急
gelgjia	更加
gelgjian	更见
gelgjianbian	更简便
gelgjiandan	更简单
gelgjianding	更坚定
gelgjiang	更将
gelgjiashen	更加深
gelgjiejin	更接近
gelgjin	更近
gelgjingcai	更精彩
gelgjingque	更精确
gelgjinle	更紧了
gelgjinmi	更紧密
gelgjiu	更久
gelgju	更具
gelgjue	更觉
gelgjuede	更觉得
gelgjuti	更具体
gelgjuyou	更具有
gelgkaikuo	更开阔
gelgkaixin	更开心
gelgkanzhong	更看重
gelgke	更可
gelgkeai	更可爱
gelgkekao	更可靠
gelgkeneng	更可能
gelgkepa	更可怕
gelgkexue	更科学
gelgkeyi	更可以
gelgku	更酷
gelgkuai	更快
gelgkuaide	更快地
gelgkuaijie	更快捷
gelgkuaisu	更快速
gelgkuan	更宽
gelgkunnan	更困难
gelglan	更烂
gelglei	更累
gelgleng	更冷
gelgliang	更亮
gelgliaojie	更了解
gelglihai	更厉害
gelgling	更令
gelglinghuo	更灵活
gelglingren	更令人
gelglixiang	更理想
gelgliyu	更利于
gelgmafan	更麻烦
gelgman	更慢
gelgmanyi	更满意
gelgmei	更美
gelgmeihao	更美好
gelgmeili	更美丽
gelgmeiyou	更没有
gelgmeng	更猛
gelgmenglie	更猛烈
gelgmi	粳米
gelgmiao	更妙
gelgming	更名
gelgmingan	更敏感
gelgmingbai	更明白
gelgmingwei	更名为
gelgmingxian	更明显
gelgnan	更难
gelgnande	更难得
gelgneng	更能
gelgnenggou	更能够
gelgnian	更年
gelgnianqi	更年期
gelgnianqing	更年轻
gelgniu	更牛
gelgnong	更浓
gelgpa	更怕
gelgpei	更配
gelgpianyi	更便宜
gelgpiaoliang	更漂亮
gelgqi	更其
gelgqiadang	更恰当
gelgqiang	更强
gelgqiangda	更强大
gelgqiangjing	更强劲
gelgqiguai	更奇怪
gelgqing	更轻
gelgqingchu	更清楚
gelgqingsong	更轻松
gelgqingxi	更清晰
gelgqu	更趋
gelgquan	更全
gelgquanmian	更全面
gelgqueqie	更确切
gelgrang	更让
gelgrangren	更让人
gelgre	更热
gelgrongyi	更容易
gelgse	梗塞
gelgshang	更上
gelgshao	更少
gelgshen	更深
gelgshenceng	更深层
gelgsheng	更胜
gelgshengdong	更生动
gelgshenke	更深刻
gelgshenle	更深了
gelgshenru	更深入
gelgshi	更是
gelgshiba	更是把
gelgshihe	更适合
gelgshihui	更实惠
gelgshiyong	更实用
gelgshou	更受
gelgshuang	更爽
gelgshufu	更舒服
gelgshushi	更舒适
gelgsi	梗死
gelgti	更替
gelgtian	更添
gelgtiejin	更贴近
gelgtong	更痛
gelgtongku	更痛苦
gelgtuchu	更突出
gelgu	亘古
gelguan	根管
gelguo	跟过
gelguoqu	跟过去
gelgwan	更晚
gelgwang	更旺
gelgwanmei	更完美
gelgwanzheng	更完整
gelgwei	更为
gelgweida	更伟大
gelgwen	更稳
gelgwending	更稳定
gelgwu	更无
gelgwufa	更无法
gelgxi	更细
gelgxian	更显
gelgxiang	更像
gelgxiangjin	更详尽
gelgxiangxi	更详细
gelgxianjin	更先进
gelgxianshi	更显示
gelgxiao	更小
gelgxihuan	更喜欢
gelgxin	更新
gelgxingfu	更幸福
gelgxinkuai	更新快
gelgxiong	更凶
gelgxiwang	更希望
gelgxu	更需
gelgxuyao	更需要
gelgyan	更严
gelgyanle	更严了
gelgyanzhong	更严重
gelgyao	更要
gelgyaoming	更要命
gelgye	哽咽
gelgyezhe	哽咽着
gelgyi	更易
gelgyigui	更衣柜
gelgyin	更因
gelgying	更应
gelgyinggai	更应该
gelgyinwei	更因为
gelgyishi	更衣室
gelgyongyou	更拥有
gelgyou	更有
gelgyouhui	更优惠
gelgyouqu	更有趣
gelgyouren	更诱人
gelgyouxiao	更有效
gelgyouxiu	更优秀
gelgyouzhi	更优质
gelgyuan	更远
gelgyuanyi	更愿意
gelgyun	耕耘
gelgzai	更在
gelgzao	更早
gelgzaogao	更糟糕
gelgzengjia	更增加
gelgzengtian	更增添
gelgzhen	更真
gelgzheng	更正
gelgzhi	耿直
gelgzhide	更值得
gelgzhiguan	更直观
gelgzhijie	更直接
gelgzhong	更重
gelgzhongshi	更重视
gelgzhongyao	更重要
gelgzhuanye	更专业
gelgzhun	更准
gelgzhunque	更准确
gelgzhuyao	更主要
gelgzhuzhong	更注重
gelgzi	庚子
gelgziran	更自然
gelgzu	更足
gelgzuo	耕作
gelial	各联
geliandu	各年度
gelianji	各年级
gelil	格林
gelilglan	格陵兰
gelinglal	格陵兰
gelingnan	格陵兰
gelingran	格陵兰
gelisfuang	隔离霜
gelishualg	隔离霜
gelji	根基
geljin	跟进
geljing	根茎
gelju	根据
geljudi	根据地
gellai	跟来
gelle	跟了
gelmao	根毛
gelmeiguo	跟美国
gelmulu	根目录
gelni	跟你
gelnimen	跟你们
gelnin	跟您
gelnishuo	跟你说
gelpichong	跟屁虫
gelqian	跟前
gelqu	跟去
gelren	跟人
gelshang	跟上
gelshanglai	跟上来
gelshangtang	跟上趟
gelshei	跟谁
gelshen	根深
gelsheng	根生
gelshui	跟谁
gelsui	跟随
gelsuizhe	跟随着
gelta	跟他
geltamen	跟他们
geltanger	跟趟儿
geltashuo	跟他说
geltie	跟帖
geltongxue	跟同学
geltou	跟头
geltuan	跟团
gelulbu	哥伦布
gelwo	跟我
gelwolai	跟我来
gelwomen	跟我们
gelwoshuo	跟我说
gelwoxue	跟我学
gelwozou	跟我走
gelxi	根系
gelxidao	根西岛
gelxu	根须
gelyi	根艺
gelyiqian	跟以前
gelyou	根由
gelyuan	根源
gelzai	跟在
gelzhe	跟着
gelzheni	跟着你
gelzheta	跟着他
gelzhewo	跟着我
gelzhi	根治
gelzhishu	根治术
gelzhu	跟住
gelzhuang	跟妆
gelzi	根子
gelziji	跟自己
gelzong	跟踪
gemel	哥们
gemeler	哥们儿
gemenel	哥们儿
gemifui	歌迷会
gemilg	革命
gemilgdang	革命党
gemilgde	革命的
gemilghua	革命化
gemilgjia	革命家
gemilgjun	革命军
gemilgpai	革命派
gemilgshi	革命史
gemilgxing	革命性
gemilgzhe	革命者
gemilzu	各民族
gemimel	歌迷们
gemingdalg	革命党
gemingfua	革命化
gemingjul	革命军
gemingsfi	革命史
gemingxilg	革命性
gemingzfe	革命者
gemobelg	隔膜泵
genaimei	格莱美
genanshi	格兰仕
genante	格兰特
genao	阁老
genasi	格拉斯
genbal	跟班
genbaler	跟班儿
genbanel	跟班儿
genbel	根本
genbelbu	根本不
genbelshi	根本是
genbelxing	根本性
genbensfi	根本是
genbenxilg	根本性
genbielen	跟别人
genbierel	跟别人
genbusfang	跟不上
genbushalg	跟不上
gencfu	根除
gencolg	跟从
gendal	跟单
gendalyuan	跟单员
gendanyual	跟单员
gendesfang	跟得上
gendeshalg	跟得上
gene	隔了
geneixing	各类型
genel	根儿
genfelg	跟风
gengaili	更爱你
gengalquan	更安全
genganqual	更安全
gengbalg	更棒
gengbiesfuo	更别说
gengbufui	更不会
gengbuleng	更不能
gengbunelg	更不能
gengbusfi	更不是
gengbuxialg	更不想
gengbuyolg	更不用
gengbuzfi	更不知
gengcal	更惨
gengcfa	更差
gengcfang	更长
gengcfangjiu	更长久
gengcfen	庚辰
gengcfengwei	更成为
gengcfijiu	更持久
gengcfongfen	更充分
gengcfuse	更出色
gengchalg	更长
gengchalgjiu	更长久
gengchel	庚辰
gengchelgwei	更成为
gengcholgfen	更充分
gengchongfel	更充分
gengchonghen	更充分
gengcolgming	更聪明
gengcongmilg	更聪明
gengdadal	更大胆
gengdane	更大了
gengdare	更大了
gengdolg	更懂
gengdolgde	更懂得
gengdual	更短
gengel	根根
gengfalgbian	更方便
gengfangbial	更方便
gengfao	更好
gengfaode	更好的
gengfaokan	更好看
gengfe	更合
gengfei	更黑
gengfekuang	更何况
gengfelgfu	更丰富
gengfeli	更合理
gengfen	更狠
gengfenghu	更丰富
gengfeshi	更合适
gengfong	更红
gengfou	更厚
gengfua	更滑
gengfuai	更坏
gengfuan	更换
gengfuanle	更换了
gengfuasuan	更划算
gengfufe	更符合
gengfui	更会
genggelg	更更
genggualg	更广
genggualgkuo	更广阔
genggualjian	更关键
genggualxin	更关心
gengguanjial	更关键
gengguanxil	更关心
genghangbian	更方便
genghaokal	更好看
genghekualg	更何况
genghel	更狠
genghengfu	更丰富
gengheni	更合理
gengheri	更合理
genghesfi	更合适
gengholg	更红
genghu	更富
genghual	更换
genghualle	更换了
genghuanne	更换了
genghuanre	更换了
genghuasual	更划算
genghuhe	更符合
genghuyou	更富有
genghuza	更复杂
gengjial	更见
gengjialbian	更简便
gengjialdan	更简单
gengjialding	更坚定
gengjialg	更将
gengjianbial	更简便
gengjiandal	更简单
gengjiandilg	更坚定
gengjiasfen	更加深
gengjiashel	更加深
gengjiejil	更接近
gengjil	更近
gengjilgcai	更精彩
gengjilgque	更精确
gengjille	更紧了
gengjilmi	更紧密
gengjinne	更紧了
gengjinre	更紧了
gengkaixil	更开心
gengkalzhong	更看重
gengkanzfong	更看重
gengkanzholg	更看重
gengkeleng	更可能
gengkenelg	更可能
gengkual	更宽
gengkulnan	更困难
gengkunlan	更困难
gengkunnal	更困难
genglal	更烂
genglande	更难得
genglangren	更让人
gengle	更热
genglelg	更冷
genglenggou	更能够
genglialg	更亮
genglian	更年
genglianqi	更年期
genglianqing	更年轻
genglifai	更厉害
genglilg	更令
genglilghuo	更灵活
genglilgren	更令人
genglingfuo	更灵活
genglinglen	更令人
genglingrel	更令人
gengliu	更牛
genglixialg	更理想
genglong	更浓
genglongyi	更容易
gengmafal	更麻烦
gengmahan	更麻烦
gengmal	更慢
gengmalyi	更满意
gengmeifao	更美好
gengmeini	更美丽
gengmeiri	更美丽
gengmelg	更猛
gengmelglie	更猛烈
gengmengnie	更猛烈
gengmengrie	更猛烈
gengmilg	更名
gengmilgan	更敏感
gengmilgbai	更明白
gengmilgwei	更名为
gengmilgxian	更明显
gengmingal	更敏感
gengmingxial	更明显
gengnal	更难
gengnalde	更难得
gengnei	更累
gengnelg	更能
gengnelggou	更能够
gengnial	更年
gengnialqi	更年期
gengnialqing	更年轻
gengniang	更亮
gengnianqilg	更年轻
gengniaojie	更了解
gengnihai	更厉害
gengning	更令
gengninghuo	更灵活
gengningren	更令人
gengnixiang	更理想
gengniyu	更利于
gengnolg	更浓
gengpialyi	更便宜
gengpiaolialg	更漂亮
gengpiaoniang	更漂亮
gengpiaoriang	更漂亮
gengqiadalg	更恰当
gengqialg	更强
gengqialgda	更强大
gengqialgjing	更强劲
gengqiangjilg	更强劲
gengqilg	更轻
gengqilgchu	更清楚
gengqilgsong	更轻松
gengqilgxi	更清晰
gengqingcfu	更清楚
gengqingsolg	更轻松
gengqual	更全
gengqualmian	更全面
gengquanmial	更全面
gengralg	更让
gengralgren	更让人
gengran	更烂
gengranglen	更让人
gengrangrel	更让人
gengrei	更累
gengreng	更冷
gengriang	更亮
gengriaojie	更了解
gengrihai	更厉害
gengring	更令
gengringhuo	更灵活
gengringren	更令人
gengrixiang	更理想
gengriyu	更利于
gengrolgyi	更容易
gengsfang	更上
gengsfao	更少
gengsfen	更深
gengsfenceng	更深层
gengsfeng	更胜
gengsfengdong	更生动
gengsfenke	更深刻
gengsfenle	更深了
gengsfenru	更深入
gengsfi	更是
gengsfiba	更是把
gengsfihe	更适合
gengsfihui	更实惠
gengsfiyong	更实用
gengsfou	更受
gengsfuang	更爽
gengsfufu	更舒服
gengsfushi	更舒适
gengshalg	更上
gengshel	更深
gengshelceng	更深层
gengshelg	更胜
gengshelgdong	更生动
gengshelke	更深刻
gengshelle	更深了
gengshelru	更深入
gengshencelg	更深层
gengshengdolg	更生动
gengshenlu	更深入
gengshenne	更深了
gengshenre	更深了
gengshife	更适合
gengshifui	更实惠
gengshiyolg	更实用
gengshualg	更爽
gengshuhu	更舒服
gengshusfi	更舒适
gengtial	更添
gengtiejil	更贴近
gengtolg	更痛
gengtolgku	更痛苦
gengtucfu	更突出
gengual	根管
gengwal	更晚
gengwalg	更旺
gengwalmei	更完美
gengwalzheng	更完整
gengwanzfeng	更完整
gengwanzhelg	更完整
gengwel	更稳
gengwelding	更稳定
gengwendilg	更稳定
gengwuha	更无法
gengxial	更显
gengxialg	更像
gengxialgjin	更详尽
gengxialgxi	更详细
gengxialjin	更先进
gengxialshi	更显示
gengxiangjil	更详尽
gengxianjil	更先进
gengxiansfi	更显示
gengxifuan	更喜欢
gengxihual	更喜欢
gengxil	更新
gengxilgfu	更幸福
gengxilkuai	更新快
gengxinghu	更幸福
gengxiolg	更凶
gengxiwalg	更希望
gengyal	更严
gengyalle	更严了
gengyalzhong	更严重
gengyanne	更严了
gengyanre	更严了
gengyanzfong	更严重
gengyanzholg	更严重
gengyaomilg	更要命
gengyezfe	哽咽着
gengyil	更因
gengyilg	更应
gengyilggai	更应该
gengyilwei	更因为
gengyisfi	更衣室
gengyolgyou	更拥有
gengyoufui	更优惠
gengyoulen	更诱人
gengyourel	更诱人
gengyouzfi	更优质
gengyual	更远
gengyualyi	更愿意
gengyul	耕耘
gengzelgjia	更增加
gengzelgtian	更增添
gengzengtial	更增添
gengzfen	更真
gengzfeng	更正
gengzfi	耿直
gengzfide	更值得
gengzfiguan	更直观
gengzfijie	更直接
gengzfong	更重
gengzfongshi	更重视
gengzfongyao	更重要
gengzfuanye	更专业
gengzfun	更准
gengzfunque	更准确
gengzfuyao	更主要
gengzfuzhong	更注重
gengzhel	更真
gengzhelg	更正
gengzhigual	更直观
gengzholg	更重
gengzholgshi	更重视
gengzholgyao	更重要
gengzhongsfi	更重视
gengzhualye	更专业
gengzhul	更准
gengzhulque	更准确
gengzhuzfong	更注重
gengzhuzholg	更注重
gengzilan	更自然
gengziral	更自然
genheng	跟风
genhumu	跟父母
geni	隔离
genia	哥俩
genial	各年
genialdu	各年度
genialji	各年级
genidai	隔离带
genie	割裂
genin	格林
geninglan	格陵兰
geniqi	隔离器
geniqu	隔离区
genishuang	隔离霜
genjil	跟进
genjilg	根茎
genlen	跟人
genli	跟你
genlimen	跟你们
genlin	跟您
genlishuo	跟你说
genmunu	根目录
genmuru	根目录
gennai	跟来
genne	跟了
gennil	跟您
gennimel	跟你们
gennisfuo	跟你说
genou	阁楼
genpicfong	跟屁虫
genpicholg	跟屁虫
genqial	跟前
genrai	跟来
genre	跟了
genrel	跟人
gensfang	跟上
gensfanglai	跟上来
gensfangtang	跟上趟
gensfei	跟谁
gensfen	根深
gensfeng	根生
gensfui	跟谁
genshalg	跟上
genshalglai	跟上来
genshalgtang	跟上趟
genshangnai	跟上来
genshangrai	跟上来
genshangtalg	跟上趟
genshel	根深
genshelg	根生
gensuizfe	跟随着
gentalger	跟趟儿
gentamel	跟他们
gentangel	跟趟儿
gentasfuo	跟他说
gentolgxue	跟同学
gentual	跟团
genu	各路
genunbu	哥伦布
genupai	格鲁派
genwomel	跟我们
genwonai	跟我来
genworai	跟我来
genwosfuo	跟我说
genyiqial	跟以前
genyual	根源
genzfe	跟着
genzfeni	跟着你
genzfeta	跟着他
genzfewo	跟着我
genzfi	根治
genzfishu	根治术
genzfu	跟住
genzfuang	跟妆
genzheli	跟着你
genzhisfu	根治术
genzhualg	跟妆
genzolg	跟踪
gepialer	歌片儿
gepianel	歌片儿
gepilg	各凭
gepilpai	各品牌
geqial	搁浅
geqialg	隔墙
geqialgban	隔墙板
geqiangbal	隔墙板
geqigual	各器官
gequmilg	歌曲名
gequxial	各区县
geraimei	格莱美
geralg	割让
geranshi	格兰仕
gerante	格兰特
gerao	阁老
gerasi	格拉斯
gerei	各类
gereixing	各类型
gerel	个人
gerelban	个人版
gereljiang	个人奖
gerelsai	个人赛
gerelyong	个人用
gerenbal	个人版
gerenjialg	个人奖
gerenyolg	个人用
geria	哥俩
gerian	各联
geridai	隔离带
gerie	割裂
gerin	格林
geringlan	格陵兰
geriqi	隔离器
geriqu	隔离区
gerishuang	隔离霜
geru	各路
gerunbu	哥伦布
gerupai	格鲁派
gerv	格律
gesael	格萨尔
gesalghua	格桑花
gesangfua	格桑花
gesfa	个啥
gesfan	隔山
gesfang	割伤
gesfe	割舍
gesfede	割舍的
gesfen	歌神
gesfeng	歌声
gesfengji	各省级
gesfengshi	各省市
gesfi	格式
gesfichang	各市场
gesfide	格式的
gesfihua	格式化
gesfixian	各市县
gesfou	歌手
gesfouming	歌手名
gesfu	个数
gesfui	个税
geshal	隔山
geshalg	割伤
geshel	歌神
geshelg	歌声
geshelgji	各省级
geshelgshi	各省市
geshengsfi	各省市
geshicfang	各市场
geshichalg	各市场
geshifua	格式化
geshixial	各市县
geshoumilg	歌手名
gesolg	歌颂
gesual	铬酸
getal	歌坛
getalshi	哥谭市
getansfi	哥谭市
getesfi	哥特式
getial	隔天
getifu	个体户
getifua	个体化
getilg	歌厅
getual	各团
getualti	各团体
gewalg	歌王
gewana	格瓦拉
gewara	格瓦拉
geweifao	各位好
geweifui	革委会
geweisfu	个位数
gewutilg	歌舞厅
gewutual	歌舞团
gexial	各县
gexialg	各项
gexialgguan	各相关
gexialgmu	各项目
gexialgzhen	各乡镇
gexialqu	各县区
gexialshi	各县市
gexianggual	各相关
gexiangzfen	各乡镇
gexiangzhel	各乡镇
gexiansfi	各县市
gexil	革新
gexilg	个性
gexilghao	各型号
gexilghua	个性化
gexilgzheng	各行政
gexilwen	各新闻
gexingfao	各型号
gexingfua	个性化
gexingzfeng	各行政
gexingzhelg	各行政
gexinie	各系列
gexinwel	各新闻
gexirie	各系列
geyal	格言
geyalg	各样
geyil	隔音
geyilg	膈应
geyolg	歌咏
geyolgdui	歌咏队
geyolghu	各用户
geyongfu	各用户
geyoufui	歌友会
geyual	各院
geyualxi	各院系
geyualxiao	各院校
gezfa	格栅
gezfan	各占
gezfang	各章
gezfe	隔着
gezfeer	搁这儿
gezfen	各镇
gezfengdang	各政党
gezfi	搁置
gezfibu	各支部
gezfineng	各职能
gezfiye	各职业
gezfong	各种
gezfongdian	各重点
gezfou	各州
gezfouba	葛洲坝
gezfu	阁主
gezfuang	各庄
gezfuangzhen	各庄镇
gezfuanye	各专业
gezhal	各占
gezhalg	各章
gezheel	搁这儿
gezhel	各镇
gezhelgdang	各政党
gezhengdalg	各政党
gezhileng	各职能
gezhinelg	各职能
gezholg	各种
gezholgdian	各重点
gezhongdial	各重点
gezhualg	各庄
gezhualgzhen	各庄镇
gezhualye	各专业
gezhuangzfen	各庄镇
gezhuangzhel	各庄镇
gezibilg	格子饼
gezisfu	鸽子树
golg	公
golgan	公安
golganbu	公安部
golganchu	公安处
golganju	公安局
golganting	公安厅
golgban	公办
golgbao	公报
golgbaoji	宫保鸡
golgben	工本
golgbenfei	工本费
golgbi	工笔
golgbihua	工笔画
golgbing	工兵
golgbu	公布
golgbule	公布了
golgcankao	供参考
golgce	公测
golgcha	公差
golgchachu	共查处
golgchai	公差
golgchan	共产
golgchandang	共产党
golgchang	工厂
golgchanghua	工厂化
golgchanglei	工厂类
golgche	公车
golgchen	功臣
golgcheng	工程
golgchengbing	工程兵
golgchengbu	工程部
golgchengche	工程车
golgchengchu	工程处
golgchengdui	工程队
golgchengfei	工程费
golgchenghua	工程化
golgchengjiang	工程奖
golgchengjiao	共成交
golgchengju	工程局
golgchengkuan	工程款
golgchengliang	工程量
golgchengshi	工程师
golgchengxi	工程系
golgchengxue	工程学
golgchengyuan	工程院
golgchengzhan	攻城战
golgcheshang	公车上
golgchi	公尺
golgchu	共处
golgchuang	共创
golgchudong	共出动
golgci	供词
golgcun	共存
golgda	攻打
golgdajia	供大家
golgdan	工单
golgdang	工党
golgdao	公道
golgdaohua	公道话
golgde	功德
golgdeng	宫灯
golgdi	工地
golgdian	供电
golgdianju	供电局
golgdianli	宫殿里
golgdianliang	供电量
golgdiansuo	供电所
golgding	拱顶
golgdishang	工地上
golgdou	宫斗
golgdu	攻读
golgduan	工段
golgdui	共对
golgdun	公吨
golge	共轭
golgertou	肱二头
golgfa	功法
golgfan	共犯
golgfang	攻防
golgfei	公费
golgfen	公分
golgfeng	供奉
golgfengzhe	供奉着
golgfenwei	共分为
golgfo	供佛
golgfu	功夫
golgfucha	工夫茶
golgfupian	功夫片
golgga	贡嘎
golggan	公干
golggao	公告
golggaoban	公告板
golggaolan	公告栏
golggaopai	公告牌
golggaoqi	公告期
golggaori	公告日
golggashan	贡嘎山
golggeng	躬耕
golggong	公共
golggongke	公共课
golggongxing	公共性
golggou	公狗
golggu	巩固
golgguan	公关
golgguanbu	公关部
golggule	巩固了
golggulv	巩固率
golgguo	功过
golghai	公害
golghan	公函
golghang	工行
golghao	功耗
golghe	共和
golghedang	共和党
golgheguo	共和国
golghejian	弓和箭
golghezhi	共和制
golghou	恭候
golghua	共话
golghuannan	共患难
golghui	工会
golghuifa	工会法
golghuo	供货
golghuoshang	供货商
golgji	攻击
golgjia	公家
golgjian	共建
golgjianfa	公检法
golgjiang	工匠
golgjianshou	弓箭手
golgjianzhan	攻坚战
golgjiao	公交
golgjiaoche	公交车
golgjiaozhan	公交站
golgjice	供给侧
golgjide	攻击的
golgjiedai	共接待
golgjiji	攻击机
golgjijin	公积金
golgjili	攻击力
golgjiliang	供给量
golgjin	公斤
golgjing	恭敬
golgjingai	宫颈癌
golgjingde	恭敬地
golgjingkou	宫颈口
golgjingyan	宫颈炎
golgjiu	贡酒
golgjixing	攻击性
golgjizhe	攻击者
golgju	工具
golgjubao	工具包
golgjuchang	工具厂
golgjue	公爵
golgjugang	工具钢
golgjuji	工具集
golgjulan	工具栏
golgjulei	工具类
golgjulian	工具链
golgjun	共军
golgjushu	工具书
golgjutiao	工具条
golgjuwu	共聚物
golgjuxiang	工具箱
golgkai	公开
golgkaihua	公开化
golgkaike	公开课
golgkaisai	公开赛
golgkaixin	公开信
golgkaixing	公开性
golgke	功课
golgkelei	工科类
golgkong	工控
golgkongji	工控机
golgkongwang	工控网
golgkou	工口
golgkuan	公款
golgkuang	工况
golglai	攻来
golglao	功劳
golgle	拱了
golgli	公里
golgliao	供料
golgling	工龄
golglishu	公里数
golglixing	功利性
golglu	公路
golgluju	公路局
golglun	公论
golglushang	公路上
golgluwang	公路网
golglv	功率
golglvbiao	功率表
golglvda	功率大
golglve	攻略
golglvji	功率计
golgmao	工贸
golgmen	拱门
golgmian	共勉
golgmin	公民
golgming	共鸣
golgmingyun	共命运
golgminquan	公民权
golgmo	巩膜
golgmou	共谋
golgmu	公母
golgnei	宫内
golgneng	功能
golgnengbiao	功能表
golgnenghua	功能化
golgnengjian	功能键
golgnenglei	功能类
golgnengshang	功能上
golgnengxing	功能性
golgni	供你
golgnin	供您
golgniu	公牛
golgniudui	公牛队
golgnong	工农
golgnongbing	工农兵
golgnonglu	工农路
golgnongye	工农业
golgnu	弓弩
golgnuan	供暖
golgnuanfei	供暖费
golgnv	宫女
golgpai	公派
golgpeidian	供配电
golgpeng	工棚
golgpin	贡品
golgping	公平
golgpingxing	公平性
golgpo	攻破
golgpu	公仆
golgqi	工期
golgqian	工钱
golgqiang	宫墙
golgqiangjing	宫腔镜
golgqiao	拱桥
golgqin	工勤
golgqing	公顷
golgqingtuan	共青团
golgqinwang	恭亲王
golgqiu	供求
golgqiulv	供求率
golgqiuwang	供求网
golgqu	工区
golgquan	公权
golgquanli	公权力
golgque	宫阙
golgran	公然
golgre	供热
